	AllTransactions

	1/1/2023 through 3/9/2026 (in U.S. Dollars)


	Date	Account	Description	Memo	Category	Amount	
			
			
			
			
			
							
	BALANCE 12/31/2022	-0.0(	
	    1/1/2023	Investment1	AUTOMATIC DATA	AUTOMATIC DATA	_DivInc	18.75	
	    1/2/2023	MasterCard	Cantina Monarca		Dining	-330.06	
	    1/2/2023	MasterCard	Hulu		Streaming	-107.88	
	    1/3/2023	Checking	Nordstrom		Clothing	42.08	
	    1/3/2023	MasterCard	Lululemon		Clothing	-140.93	
	    1/3/2023	Investment1	WAL-MART STORES INC	WALMART INC	_DivInc	9.52	
	    1/5/2023	MasterCard	Best Friends Grooming		Pet	-105.00	
	    1/5/2023	MasterCard	Qfc		Groceries	-32.49	
	    1/5/2023	MasterCard	Trader Joe's  Qps		Groceries	-24.44	
	    1/6/2023	Investment1	CHUBB CORP	CHUBB LTD	_DivInc	10.79	
	    1/6/2023	Investment1	PEPSICO INCORPORATED	PEPSICO INCORPORATED	_DivInc	17.25	
	    1/7/2023	MasterCard	Pcc		Groceries	-41.63	
	    1/9/2023	Checking	Netflix		Streaming	-17.05	
	    1/9/2023	Checking	 	000000001   WEB ID: 0000000001	House Services	-130.00	
	    1/9/2023	MasterCard	Rusty Pelican Cafe		Dining	-108.85	
	    1/9/2023	MasterCard	Starbucks		Dining	-12.06	
	    1/9/2023	MasterCard	Qfc		Groceries	-1.99	
	    1/10/2023	Checking	Employer	Salary	Salary Spouse	1,193.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.68	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.33	
				Medical Insurance	Employer Benefit Spouse:Medical	-17.41	
				Federal Tax	Tax Spouse:Fed	-174.20	
				Social Security (FICA)	Tax Spouse:Soc Sec	-214.15	
				Medicare Tax	Tax Spouse:Medicare	-50.08	
	    1/11/2023	Investment2	AGNC Investment Corp.	DIVIDEND RECEIVED	_DivInc	36.00	
	    1/12/2023	MasterCard	Qfc		Groceries	-22.41	
	    1/12/2023	MasterCard	Trader Joe's  Qps		Groceries	-3.38	
	    1/12/2023	Investment1	ILLINOIS TOOL WORKS INC	ILLINOIS TOOL WORKS INC	_DivInc	18.34	
	    1/13/2023	Investment1	Advisory	ACCOUNT CREDIT		16.71	
	    1/13/2023	Investment1	Advisory	PLATFORM FEE		-19.79	
	    1/13/2023	Investment1	MEDTRONIC PLC	MEDTRONIC PLC	_DivInc	16.32	
	    1/15/2023	Cash		Salary	Salary	2,468.77	
				Federal Tax	Tax:Fed	-727.02	
				Medicare Tax	Tax:Medicare	-125.11	
				Social Security (FICA)	Tax:Soc Sec	-234.94	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    1/16/2023	MasterCard	Qfc		Groceries	-11.78	
	    1/16/2023	MasterCard	Heritage Restaurantbar		Dining	-75.86	
	    1/17/2023	Checking	Zelle Alice		Personal Care	-36.00	
	    1/17/2023	Checking	ARCO		Auto:Fuel	-68.92	
	    1/17/2023	Checking	Costco		Groceries	-15.99	
